Site,Taxa,Depth,Taxa
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea purpurea,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea pruinosa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
