Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
Kimberley Coast,-16.058,123.544,-3.7486,3.620473588,3.620473588,0,0,0,388,64,89,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-6.0486,3.620473588,3.620473588,0,0,0,509,32,38,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-0.7486,3.620473588,3.620473588,0,0,0,87,166,84,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-3.6486,3.620473588,3.620473588,0,0,0,532,88,30,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-6.4486,3.620473588,3.620473588,0,0,0,604,61,46,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-0.5486,3.620473588,3.620473588,0,0,0,80,173,76,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-3.4486,3.620473588,3.620473588,0,0,0,516,25,20,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-6.4486,3.620473588,3.620473588,0,0,0,954,99,32,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-0.7486,3.620473588,3.620473588,0,0,0,56,195,50,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-3.2486,3.620473588,3.620473588,0,0,0,605,45,64,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-4.6486,3.620473588,3.620473588,0,0,0,743,50,63,-1,0,2,3,0
King Sound Kimberley Coast,-17.026,123.59,-3.9832,5.078193457,5.078193457,0,0,0,8175,201,200,0,1,1,3,0
King Sound Kimberley Coast,-17.026,123.59,-2.8032,5.078207635,5.078193457,0,0,0,7755,453,460,0,1,1,3,0
Canning Coast,-18.91,121.66,-1.4357,3.109408873,3.108017783,0,0,0,7366,61,85,0,1,1,3,0
Canning Coast,-18.91,121.66,0.1043,3.108815,3.108017783,0,0,0,7267,146,101,0,1,1,3,0
Canning Coast,-18.91,121.66,0.0543,3.108660287,3.108017783,0,0,0,7024,135,122,0,1,1,3,0
King Sound Kimberley Coast,-17.026,123.59,-3.9832,5.078211136,5.078193457,0,0,0,6993,429,432,0,1,1,3,0
King Sound Kimberley Coast,-17.026,123.59,-1.7282,5.077304013,5.077206297,0,0,0,6978,280,303,0,1,1,3,0
Canning Coast,-18.91,121.66,0.6043,3.108604623,3.108017783,0,0,0,6943,211,144,0,1,1,3,0
King Sound Kimberley Coast,-17.026,123.59,-2.4282,5.078388429,5.078193457,0,0,0,6868,376,361,0,1,1,3,0
King Sound Kimberley Coast,-17.026,123.59,-2.8032,5.078635426,5.078193457,0,0,0,6799,456,443,0,1,1,3,0
King Sound Kimberley Coast,-17.026,123.59,-2.5032,5.078375507,5.078193457,0,0,0,6607,276,286,0,1,1,3,0
Canning Coast,-18.91,121.66,-1.559,4.061498759,4.06034505,0,0,0,6233,151,224,0,1,1,3,0
Canning Coast,-18.91,121.66,0.761,4.060508107,4.060394307,0,0,0,4444,80,146,0,1,1,3,0
